Series ID,Year,Period,Label,Value
LAUCT480500000000003,2012,M01,2012 Jan,5.5
LAUCT480500000000003,2012,M02,2012 Feb,5.3
LAUCT480500000000003,2012,M03,2012 Mar,5.0
LAUCT480500000000003,2012,M04,2012 Apr,4.7
LAUCT480500000000003,2012,M05,2012 May,5.0
LAUCT480500000000003,2012,M06,2012 Jun,5.5
LAUCT480500000000003,2012,M07,2012 Jul,5.5
LAUCT480500000000003,2012,M08,2012 Aug,5.2
LAUCT480500000000003,2012,M09,2012 Sep,4.8
LAUCT480500000000003,2012,M10,2012 Oct,4.7
LAUCT480500000000003,2012,M11,2012 Nov,4.5
LAUCT480500000000003,2012,M12,2012 Dec,4.6
LAUCT480500000000003,2013,M01,2013 Jan,5.3
LAUCT480500000000003,2013,M02,2013 Feb,4.9
LAUCT480500000000003,2013,M03,2013 Mar,4.7
LAUCT480500000000003,2013,M04,2013 Apr,4.5
LAUCT480500000000003,2013,M05,2013 May,4.7
LAUCT480500000000003,2013,M06,2013 Jun,5.1
LAUCT480500000000003,2013,M07,2013 Jul,5.0
LAUCT480500000000003,2013,M08,2013 Aug,4.7
LAUCT480500000000003,2013,M09,2013 Sep,4.7
LAUCT480500000000003,2013,M10,2013 Oct,4.5
LAUCT480500000000003,2013,M11,2013 Nov,4.1
LAUCT480500000000003,2013,M12,2013 Dec,3.9
LAUCT480500000000003,2014,M01,2014 Jan,4.2
LAUCT480500000000003,2014,M02,2014 Feb,4.1
LAUCT480500000000003,2014,M03,2014 Mar,3.9
LAUCT480500000000003,2014,M04,2014 Apr,3.4
LAUCT480500000000003,2014,M05,2014 May,3.7
LAUCT480500000000003,2014,M06,2014 Jun,3.9
LAUCT480500000000003,2014,M07,2014 Jul,4.1
LAUCT480500000000003,2014,M08,2014 Aug,4.0
LAUCT480500000000003,2014,M09,2014 Sep,3.8
LAUCT480500000000003,2014,M10,2014 Oct,3.5
LAUCT480500000000003,2014,M11,2014 Nov,3.4
LAUCT480500000000003,2014,M12,2014 Dec,3.1
LAUCT480500000000003,2015,M01,2015 Jan,3.5
LAUCT480500000000003,2015,M02,2015 Feb,3.2
LAUCT480500000000003,2015,M03,2015 Mar,3.0
LAUCT480500000000003,2015,M04,2015 Apr,2.7
LAUCT480500000000003,2015,M05,2015 May,2.9
LAUCT480500000000003,2015,M06,2015 Jun,3.2
LAUCT480500000000003,2015,M07,2015 Jul,3.2
LAUCT480500000000003,2015,M08,2015 Aug,3.0
LAUCT480500000000003,2015,M09,2015 Sep,3.0
LAUCT480500000000003,2015,M10,2015 Oct,2.9
LAUCT480500000000003,2015,M11,2015 Nov,2.9
LAUCT480500000000003,2015,M12,2015 Dec,2.7
LAUCT480500000000003,2016,M01,2016 Jan,3.1
LAUCT480500000000003,2016,M02,2016 Feb,3.0
LAUCT480500000000003,2016,M03,2016 Mar,3.0
LAUCT480500000000003,2016,M04,2016 Apr,2.7
LAUCT480500000000003,2016,M05,2016 May,2.8
LAUCT480500000000003,2016,M06,2016 Jun,3.2
LAUCT480500000000003,2016,M07,2016 Jul,3.4
LAUCT480500000000003,2016,M08,2016 Aug,3.3
LAUCT480500000000003,2016,M09,2016 Sep,3.3
LAUCT480500000000003,2016,M10,2016 Oct,3.2
